"State","Avg F","Avg C","Inches","Millimeters","Density","2025 Median Hourly Wage","2025 Adj Income","2025 Median Home Value","Cost of Living Index","Life Expectancy","Violent Crime Rate","Median Age","College Attainment","Pct Urban","Sunny Days","Disaster Risk","Pro Sports Teams","GDP Per Capita"
"Alabama","62.8","17.1","58.3","1480","101","21.96","52024","231946","85.0","72.0","359.9","39.5","27.43","57.7","99","62.5","0","65694"
"Alaska","26.6","-3","22.5","572","1.3","29.33","59810","395096","129.0","74.5","724.1","35.3","32.79","64.9","61","28.6","0","101742"
"Arizona","60.3","15.7","13.6","345","65","24.07","50116","440228","107.6","75.0","421.9","38.5","32.43","89.3","193","83.9","3","78463"
"Arkansas","60.4","15.8","50.6","1284","59","20.98","50391","219825","89.1","72.5","579.4","38.6","25.27","55.5","123","48.2","0","63703"
"California","59.4","15.2","22.2","563","250","28.00","51769","809227","140.5","78.3","486.0","37.3","36.19","94.2","146","100","16","108012"
"Colorado","45.1","7.3","15.9","405","57","28.75","58456","567724","101.8","77.7","476.3","37.3","44.42","86.0","136","55.4","5","97184"
"Connecticut","49","9.4","50.3","1279","747","28.70","56105","465586","114.2","79.2","136.0","41.2","42.13","86.3","82","37.5","0","102062"
"Delaware","55.3","12.9","45.7","1160","529","25.09","53252","406448","101.7","76.3","360.8","41.4","35.62","82.6","98","16.1","0","110588"
"District of Columbia","57.1","13.9","39.7","1008","11280","44.01","78041","764716","134.3","75.3","1005.5","34.4","63.05","100.0","101","10.7","4","277689"
"Florida","70.7","21.5","54.5","1385","422","23.02","46897","405280","100.7","76.1","267.1","42.7","33.16","91.5","101","96.4","10","78195"
"Georgia","63.5","17.5","50.7","1287","192","23.16","50285","338734","90.6","74.3","325.7","37.3","34.63","74.1","112","80.4","4","81823"
"Hawaii","70","21.1","63.7","1618","223","27.08","50836","973555","184.8","79.9","217.7","40.0","35.30","86.1","90","35.7","0","86967"
"Idaho","44.4","6.9","18.9","481","24","23.06","52249","465288","101.7","77.2","230.6","37.2","30.72","69.2","120","23.2","0","66784"
"Illinois","51.8","11","39.2","996","226","24.98","51292","292156","95.1","77.1","289.2","38.8","37.14","86.9","95","94.6","6","94503"
"Indiana","51.7","10.9","41.7","1060","192","23.01","52136","254931","88.3","74.6","312.9","38.0","28.88","71.2","88","60.7","2","78188"
"Iowa","47.8","8.8","34","864","57","23.34","54918","237357","88.6","77.7","243.3","38.6","30.54","63.2","105","51.8","0","85570"
"Kansas","54.3","12.4","28.9","733","36","23.08","53340","242859","87.6","76.0","438.7","37.3","35.40","72.3","128","50","1","81075"
"Kentucky","55.6","13.1","48.9","1242","115","22.56","52489","225191","92.5","72.3","213.1","39.2","26.98","58.7","93","58.9","0","66617"
"Louisiana","66.4","19.1","60.1","1528","106","21.89","50255","213371","91.1","72.2","519.8","37.8","26.45","71.5","101","82.1","2","73639"
"Maine","41","5","42.2","1072","45","24.73","51030","413961","114.6","76.7","100.1","45.0","35.99","38.6","101","17.9","0","72688"
"Maryland","54.2","12.3","44.5","1131","637","28.61","56675","451121","121.1","77.2","420.4","39.2","48.55","85.6","105","33.9","2","90680"
"Massachusetts","47.9","8.8","47.7","1211","898","30.57","58122","685886","147.8","79.6","314.7","39.7","50.62","91.3","98","42.9","5","114635"
"Michigan","44.4","6.9","32.8","833","178","23.69","52757","259702","93.9","75.7","434.3","40.1","31.67","73.5","71","69.6","4","72085"
"Minnesota","41.2","5.1","27.3","693","72","27.36","58249","358473","93.4","78.8","256.6","38.5","38.90","71.9","95","66.1","5","91154"
